dataset,approach,val_mse,time_s,_source_,rank
A,Best Linear (A),0.7002865232715852,,final_summary,1.0
A,ElasticNet,0.7002865232715852,9.786954693001462,leader,1.0
A,Best KRR (A),0.7124575841039498,,final_summary,2.0
A,KRR-rbf,0.7124575841039498,3.9721791979991394,leader,2.0
A,Best MLP (A),0.7190460562705994,,final_summary,3.0
A,Shallow-Enh,0.7190460562705994,30.438725108000654,leader,3.0
A (Embed),KRR_RBF_subset,0.7155681969125796,,final_summary,1.0
A (Seq),LSTM,13.258675575256348,,final_summary,1.0
B,Best Linear (B),0.47140469687986186,,final_summary,1.0
B,ElasticNet,0.47140469687986186,12.747552942000766,leader,1.0
B,Best KRR (B),0.4722733559906603,,final_summary,2.0
B,KRR-rbf,0.4722733559906603,3.27687670999876,leader,2.0
B,Best MLP (B),0.48588961362838745,,final_summary,3.0
B,Deep-Enh,0.48588961362838745,50.28620297500129,leader,3.0
B (Embed),KRR_RBF_subset,0.4874249753338825,,final_summary,1.0
best_l1,ElasticNet,0.7002865232715852,9.786954693001462,best_l1,1.0
res_embed_A,res_embed_A,0.7155681969125796,3.6871857960013585,res_embed_A,1.0
res_embed_B,res_embed_B,0.4874249753338825,2.346477254999627,res_embed_B,1.0
res_krr_A,res_krr_A,0.7124575841039498,3.9721791979991394,res_krr_A,1.0
res_krr_B,res_krr_B,0.4722733559906603,3.27687670999876,res_krr_B,1.0
res_lin_A,ElasticNet,0.7002865232715852,9.786954693001462,res_lin_A,1.0
res_lin_A,Ridge,0.7010014075484109,0.5989154840008268,res_lin_A,2.0
res_lin_A,OLS,0.703521776712373,7.904320292000193,res_lin_A,3.0
res_lin_A,LASSO,0.7047242825020353,0.6564636740004062,res_lin_A,4.0
res_lin_B,ElasticNet,0.47140469687986186,12.747552942000766,res_lin_B,1.0
res_lin_B,Ridge,0.47188282716594887,2.0649604560003354,res_lin_B,2.0
res_lin_B,LASSO,0.4745342727781026,4.503377782999451,res_lin_B,3.0
res_lin_B,OLS,0.47655499712989474,9.896557957999903,res_lin_B,4.0
